id,active_application_users_quantities,active_corporate_users_quantities,date,entity_id
227211,4,0,2021-11-17,1105
227210,4,0,2021-11-17,1105
227209,4,0,2021-11-17,1105
227208,4,0,2021-11-17,1105
227207,4,0,2021-11-17,1105
227206,4,0,2021-11-17,1105
227205,4,0,2021-11-17,1105
227204,4,0,2021-11-17,1105
227203,4,0,2021-11-17,1105
227202,4,0,2021-11-17,1105
227201,4,0,2021-11-17,1105
227200,4,0,2021-11-17,1105
227199,4,0,2021-11-17,1105
227198,4,0,2021-11-17,1105
227197,4,0,2021-11-17,1105
227196,4,0,2021-11-17,1105
227195,4,0,2021-11-17,1105
227194,4,0,2021-11-17,1105
227193,4,0,2021-11-17,1105
227192,4,0,2021-11-17,1105
227191,4,0,2021-11-17,1105
227190,4,0,2021-11-17,1105
227189,4,0,2021-11-17,1105
227188,4,0,2021-11-17,1105
227187,4,0,2021-11-17,1105
227186,4,0,2021-11-17,1105
227185,4,0,2021-11-17,1105
227184,4,0,2021-11-17,1105
227183,4,0,2021-11-17,1105
227182,4,0,2021-11-17,1105
227181,4,0,2021-11-17,1105
227180,4,0,2021-11-17,1105
227179,4,0,2021-11-17,1105
227178,4,0,2021-11-17,1105
227177,4,0,2021-11-17,1105
227176,4,0,2021-11-17,1105
227175,4,0,2021-11-17,1105
227174,4,0,2021-11-17,1105
227173,4,0,2021-11-17,1105
227172,4,0,2021-11-17,1105
227171,4,0,2021-11-17,1105
227170,4,0,2021-11-17,1105
227169,4,0,2021-11-17,1105
227168,4,0,2021-11-17,1105
227167,4,0,2021-11-17,1105
227166,4,0,2021-11-17,1105
227165,4,0,2021-11-17,1105
227164,4,0,2021-11-17,1105
227163,4,0,2021-11-17,1105
227162,4,0,2021-11-17,1105
227161,4,0,2021-11-17,1105
227160,4,0,2021-11-17,1105
227159,4,0,2021-11-17,1105
227158,4,0,2021-11-17,1105
227157,4,0,2021-11-17,1105
227156,4,0,2021-11-17,1105
227155,4,0,2021-11-17,1105
227154,4,0,2021-11-17,1105
227153,4,0,2021-11-17,1105
227152,4,0,2021-11-17,1105
227151,4,0,2021-11-17,1105
227150,4,0,2021-11-17,1105
227149,4,0,2021-11-17,1105
227148,4,0,2021-11-17,1105
227147,4,0,2021-11-17,1105
227146,4,0,2021-11-17,1105
227145,4,0,2021-11-17,1105
227144,4,0,2021-11-17,1105
227143,4,0,2021-11-17,1105
227142,4,0,2021-11-17,1105
227141,4,0,2021-11-17,1105
227140,4,0,2021-11-17,1105
227139,4,0,2021-11-17,1105
227138,4,0,2021-11-17,1105
227137,4,0,2021-11-17,1105
227136,4,0,2021-11-17,1105
227135,4,0,2021-11-17,1105
227134,4,0,2021-11-17,1105
227133,4,0,2021-11-17,1105
227132,4,0,2021-11-17,1105
227131,4,0,2021-11-17,1105
227130,4,0,2021-11-17,1105
227129,4,0,2021-11-17,1105
227128,4,0,2021-11-17,1105
227127,4,0,2021-11-17,1105
227126,4,0,2021-11-17,1105
227125,4,0,2021-11-17,1105
227124,4,0,2021-11-17,1105
227123,4,0,2021-11-17,1105
227122,4,0,2021-11-17,1105
227121,4,0,2021-11-17,1105
227120,4,0,2021-11-17,1105
227119,4,0,2021-11-17,1105
227118,4,0,2021-11-17,1105
227117,4,0,2021-11-17,1105
227116,4,0,2021-11-17,1105
227115,4,0,2021-11-17,1105
227113,4,0,2021-11-17,1105
227013,4,0,2021-11-17,1105
226421,4,0,2021-11-17,1105
226420,4,0,2021-11-17,1105
226419,4,0,2021-11-17,1105
226418,4,0,2021-11-17,1105
226417,4,0,2021-11-17,1105
226416,4,0,2021-11-17,1105
226415,4,0,2021-11-17,1105
