user_id,ts,date
UA000000107379500,2020-07-04T16:09:06.592+0000,2020-07-04
UA000000107359357,2020-07-04T15:36:51.756+0000,2020-07-04
UA000000107375547,2020-07-04T16:06:55.459+0000,2020-07-04
UA000000107370581,2020-07-04T16:06:49.276+0000,2020-07-04
UA000000107377108,2020-07-04T16:03:48.143+0000,2020-07-04
UA000000107377161,2020-07-04T16:03:54.344+0000,2020-07-04
UA000000107370851,2020-07-04T15:52:16.171+0000,2020-07-04
UA000000107360961,2020-07-04T15:34:03.215+0000,2020-07-04
UA000000107376205,2020-07-04T16:13:33.196+0000,2020-07-04
UA000000107359805,2020-07-04T15:31:53.246+0000,2020-07-04
UA000000107369909,2020-07-04T15:56:10.903+0000,2020-07-04
UA000000107371743,2020-07-04T15:53:56.347+0000,2020-07-04
UA000000107380961,2020-07-04T16:12:05.815+0000,2020-07-04
UA000000107377487,2020-07-04T16:04:32.173+0000,2020-07-04
UA000000107357350,2020-07-04T15:27:09.415+0000,2020-07-04
UA000000107359573,2020-07-04T15:31:27.337+0000,2020-07-04
UA000000107364368,2020-07-04T15:52:53.962+0000,2020-07-04
UA000000107357467,2020-07-04T15:35:44.661+0000,2020-07-04
UA000000107369512,2020-07-04T15:49:48.141+0000,2020-07-04
UA000000107365065,2020-07-04T15:44:57.207+0000,2020-07-04
UA000000107364813,2020-07-04T15:41:11.099+0000,2020-07-04
UA000000107374663,2020-07-04T15:59:16.880+0000,2020-07-04
UA000000107382638,2020-07-04T16:13:59.050+0000,2020-07-04
UA000000107367922,2020-07-04T15:46:48.354+0000,2020-07-04
UA000000107366779,2020-07-04T16:08:19.159+0000,2020-07-04
UA000000107374215,2020-07-04T16:10:03.979+0000,2020-07-04
UA000000107380780,2020-07-04T16:10:39.209+0000,2020-07-04
UA000000107359571,2020-07-04T15:31:27.186+0000,2020-07-04
UA000000107376278,2020-07-04T16:09:44.168+0000,2020-07-04
UA000000107363006,2020-07-04T15:37:56.686+0000,2020-07-04
UA000000107360852,2020-07-04T15:33:51.949+0000,2020-07-04
UA000000107381241,2020-07-04T16:11:26.932+0000,2020-07-04
UA000000107377238,2020-07-04T16:04:02.524+0000,2020-07-04
UA000000107371192,2020-07-04T15:52:57.050+0000,2020-07-04
UA000000107367048,2020-07-04T15:45:12.951+0000,2020-07-04
UA000000107379637,2020-07-04T16:08:34.256+0000,2020-07-04
UA000000107371070,2020-07-04T16:03:40.744+0000,2020-07-04
UA000000107378173,2020-07-04T16:05:51.138+0000,2020-07-04
UA000000107373270,2020-07-04T15:56:46.468+0000,2020-07-04
UA000000107375316,2020-07-04T16:00:29.326+0000,2020-07-04
UA000000107374020,2020-07-04T16:13:50.950+0000,2020-07-04
UA000000107357480,2020-07-04T15:27:23.386+0000,2020-07-04
UA000000107364704,2020-07-04T16:07:03.421+0000,2020-07-04
UA000000107362707,2020-07-04T15:37:21.350+0000,2020-07-04
UA000000107372672,2020-07-04T16:14:00.812+0000,2020-07-04
UA000000107375642,2020-07-04T16:01:06.349+0000,2020-07-04
UA000000107380952,2020-07-04T16:10:57.039+0000,2020-07-04
UA000000107370829,2020-07-04T16:01:12.750+0000,2020-07-04
UA000000107361649,2020-07-04T15:42:56.501+0000,2020-07-04
UA000000107377392,2020-07-04T16:04:21.450+0000,2020-07-04
UA000000107360196,2020-07-04T16:04:35.942+0000,2020-07-04
UA000000107363249,2020-07-04T15:38:54.114+0000,2020-07-04
UA000000107372505,2020-07-04T15:55:20.615+0000,2020-07-04
UA000000107358569,2020-07-04T16:06:02.928+0000,2020-07-04
UA000000107378924,2020-07-04T16:07:32.225+0000,2020-07-04
UA000000107380991,2020-07-04T16:11:02.248+0000,2020-07-04
UA000000107361989,2020-07-04T15:36:07.068+0000,2020-07-04
UA000000107358571,2020-07-04T15:29:28.876+0000,2020-07-04
UA000000107366349,2020-07-04T15:46:12.231+0000,2020-07-04
UA000000107370853,2020-07-04T16:02:15.553+0000,2020-07-04
UA000000107380222,2020-07-04T16:09:41.312+0000,2020-07-04
UA000000107368830,2020-07-04T15:49:16.506+0000,2020-07-04
UA000000107380441,2020-07-04T16:12:18.472+0000,2020-07-04
UA000000107370279,2020-07-04T15:51:08.268+0000,2020-07-04
UA000000107375824,2020-07-04T16:01:27.566+0000,2020-07-04
UA000000107369710,2020-07-04T15:50:53.146+0000,2020-07-04
UA000000107379918,2020-07-04T16:09:06.329+0000,2020-07-04
UA000000107361970,2020-07-04T16:07:06.433+0000,2020-07-04
UA000000107357319,2020-07-04T15:27:04.543+0000,2020-07-04
UA000000107359552,2020-07-04T15:31:25.393+0000,2020-07-04
UA000000107368410,2020-07-04T16:11:56.208+0000,2020-07-04
UA000000107369252,2020-07-04T15:51:11.752+0000,2020-07-04
UA000000107377217,2020-07-04T16:03:59.879+0000,2020-07-04
UA000000107382225,2020-07-04T16:14:48.072+0000,2020-07-04
UA000000107371554,2020-07-04T16:03:07.026+0000,2020-07-04
UA000000107357359,2020-07-04T15:27:10.929+0000,2020-07-04
UA000000107361812,2020-07-04T15:35:53.877+0000,2020-07-04
UA000000107377843,2020-07-04T16:07:52.298+0000,2020-07-04
UA000000107358307,2020-07-04T15:47:16.821+0000,2020-07-04
UA000000107374194,2020-07-04T15:58:20.547+0000,2020-07-04
UA000000107364642,2020-07-04T15:40:54.607+0000,2020-07-04
UA000000107368326,2020-07-04T15:47:33.737+0000,2020-07-04
UA000000107360046,2020-07-04T15:32:23.752+0000,2020-07-04
UA000000107361826,2020-07-04T16:00:26.477+0000,2020-07-04
UA000000107363816,2020-07-04T16:01:42.578+0000,2020-07-04
UA000000107370641,2020-07-04T15:51:50.000+0000,2020-07-04
UA000000107376495,2020-07-04T16:03:02.714+0000,2020-07-04
UA000000107372186,2020-07-04T16:01:53.487+0000,2020-07-04
UA000000107365658,2020-07-04T15:42:47.598+0000,2020-07-04
UA000000107360336,2020-07-04T15:45:12.540+0000,2020-07-04
UA000000107371458,2020-07-04T15:53:25.107+0000,2020-07-04
UA000000107359727,2020-07-04T15:38:35.635+0000,2020-07-04
UA000000107380353,2020-07-04T16:09:54.662+0000,2020-07-04
UA000000107362695,2020-07-04T15:37:54.207+0000,2020-07-04
UA000000107373722,2020-07-04T15:57:30.659+0000,2020-07-04
UA000000107382278,2020-07-04T16:14:24.007+0000,2020-07-04
UA000000107381321,2020-07-04T16:11:34.573+0000,2020-07-04
UA000000107375378,2020-07-04T16:00:35.584+0000,2020-07-04
UA000000107378202,2020-07-04T16:09:13.436+0000,2020-07-04
UA000000107380610,2020-07-04T16:10:21.733+0000,2020-07-04
UA000000107358069,2020-07-04T15:29:28.939+0000,2020-07-04
UA000000107360551,2020-07-04T15:33:21.153+0000,2020-07-04
UA000000107367705,2020-07-04T15:46:22.388+0000,2020-07-04
UA000000107371057,2020-07-04T16:01:09.539+0000,2020-07-04
UA000000107367938,2020-07-04T15:46:51.097+0000,2020-07-04
UA000000107373956,2020-07-04T16:02:06.307+0000,2020-07-04
UA000000107367963,2020-07-04T15:46:54.480+0000,2020-07-04
UA000000107374820,2020-07-04T15:59:31.068+0000,2020-07-04
UA000000107375426,2020-07-04T16:08:06.308+0000,2020-07-04
UA000000107359991,2020-07-04T15:32:17.171+0000,2020-07-04
UA000000107378178,2020-07-04T16:05:51.455+0000,2020-07-04
UA000000107378521,2020-07-04T16:06:30.530+0000,2020-07-04
UA000000107366709,2020-07-04T15:44:37.145+0000,2020-07-04
UA000000107381140,2020-07-04T16:11:17.356+0000,2020-07-04
UA000000107375805,2020-07-04T16:12:54.364+0000,2020-07-04
UA000000107369237,2020-07-04T15:49:12.659+0000,2020-07-04
UA000000107361827,2020-07-04T15:40:02.786+0000,2020-07-04
UA000000107363382,2020-07-04T15:51:18.043+0000,2020-07-04
UA000000107382864,2020-07-04T16:14:20.210+0000,2020-07-04
UA000000107360669,2020-07-04T15:33:33.143+0000,2020-07-04
UA000000107358089,2020-07-04T15:33:43.191+0000,2020-07-04
UA000000107364370,2020-07-04T15:49:48.888+0000,2020-07-04
UA000000107364350,2020-07-04T15:57:32.433+0000,2020-07-04
UA000000107371380,2020-07-04T15:53:15.589+0000,2020-07-04
UA000000107366547,2020-07-04T15:44:21.533+0000,2020-07-04
UA000000107359535,2020-07-04T15:47:40.687+0000,2020-07-04
UA000000107379188,2020-07-04T16:10:18.964+0000,2020-07-04
UA000000107382872,2020-07-04T16:14:21.047+0000,2020-07-04
UA000000107360337,2020-07-04T15:32:56.919+0000,2020-07-04
UA000000107376481,2020-07-04T16:02:40.802+0000,2020-07-04
UA000000107359755,2020-07-04T15:31:47.066+0000,2020-07-04
UA000000107369580,2020-07-04T15:57:00.055+0000,2020-07-04
UA000000107370279,2020-07-04T15:53:29.367+0000,2020-07-04
UA000000107359699,2020-07-04T15:31:40.914+0000,2020-07-04
