PROMOTION_CODE|COUPON_CODE|BUSINESS_DATE|TRANSACTION_DATE|GL_POST_DATE|STORE_NO|SKU_NUMBER|TRANSACTION_NUMBER|TRANSACTION_LINE_NUMBER|TERMINAL_ID|TRANSACTION_TYPE|ATG_ORDER_NO|LOCAL_DISCOUNT_AMT|ATG_PROFILE_ID|BI_USA_ID
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 10:06:06||356|1458413|13461|3|1|SALE||22.50||
197:681:116||2020-02-11|2020-02-11 10:05:19||356|1973767|4907|4|4|SALE||5.00||
197:681:116||2020-02-11|2020-02-11 10:06:13||356|1973767|4908|4|4|SALE||5.00||
197:681:116||2020-02-11|2020-02-11 10:06:59||356|1973767|4909|4|4|SALE||5.00||
EMPL:SEPH_EMPL_40||2020-02-11|2020-02-11 10:14:49||394|2255628|80000|1|5|RETURN||-4.00||
EMPL:SEPH_EMPL_GENERAL||2020-02-11|2020-02-11 10:16:56||394|2169332|80001|1|5|RETURN||-7.20||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 10:16:56||394|2031185|80001|2|5|SALE||14.70||
EMPL:SEPH_EMPL_40|EMPL|2020-02-11|2020-02-11 10:16:02||410|1829274|71227|1|3|SALE||6.00||
EMPL:SEPH_EMPL_GENERAL||2020-02-11|2020-02-11 10:22:14||500|1951433|77720|1|1|RETURN||-9.00||
PROMO_TLP_xsellfrag20pfeb20_0800693|DFSK4NVFD|2020-02-11|2020-02-11 10:19:27||500|2047801|1582|1|5|SALE||19.40||
HOLIDAY_BONUS_VIB||2020-02-11|2020-02-11 10:19:27||500|2267623|1582|2|5|RETURN||-9.30||
10||2020-02-11|2020-02-11 09:46:42||500|1925387|81540|2|6|RETURN||-45.00||
EMPL:SEPH_EMPL_40|EMPL|2020-02-11|2020-02-11 10:05:20||500|2222487|77600|1|7|SALE||4.00||
EMPL:SEPH_EMPL_40|EMPL|2020-02-11|2020-02-11 10:05:20||500|2015808|77600|2|7|SALE||4.00||
EMPL:SEPH_EMPL_40|EMPL|2020-02-11|2020-02-11 10:05:20||500|2087021|77600|3|7|SALE||4.00||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 10:05:20||500|2181030|77600|4|7|SALE||4.05||
HOLIDAY_BONUS_ROUGE||2020-02-11|2020-02-11 10:23:33||504|2051910|61025|1|5|RETURN||-13.80||
PROMO_0800307|400023221138|2020-02-11|2020-02-11 10:14:41||532|2156420|40280|1|3|SALE||4.27||
PROMO_0800307|400023221138|2020-02-11|2020-02-11 10:14:41||532|2221026|40280|2|3|SALE||3.73||
HOLIDAY_REWARD_CARD_ROUGE||2020-02-11|2020-02-11 10:19:15||540|2234649|28424|1|4|RETURN||-6.76||
198:682:117||2020-02-11|2020-02-11 09:56:51||554|1973684|53779|4|1|SALE||8.00||
10||2020-02-11|2020-02-11 10:13:41||572|1974815|11213|1|4|RETURN||-3.90||
10||2020-02-11|2020-02-11 11:51:09||596|2173094|34848|1|3|RETURN||-1.50||
10||2020-02-11|2020-02-11 11:51:09||596|2030971|34848|2|3|RETURN||-2.75||
198:682:117||2020-02-11|2020-02-11 10:15:28||612|1973684|67357|7|3|SALE||6.00||
PROMO_SCC_1791||2020-02-11|2020-02-11 10:25:41||644|1686187|62488|2|3|RETURN||-2.10||
EMPL:SEPH_EMPL_40|EMPL|2020-02-11|2020-02-11 10:04:56||726|1118033|32643|1|4|SALE||5.20||
10||2020-02-11|2020-02-11 10:18:32||744|2046639|55913|1|1|RETURN||-7.00||
38||2020-02-11|2020-02-11 10:18:57||758|2115566|28591|1|2|RETURN||-1.78||
214:1159:141||2020-02-11|2020-02-11 10:10:21||798|1029941|21442|1|3|SALE||86.00||
PROMO_0800307||2020-02-11|2020-02-11 10:03:51||858|537878|1166|1|2|RETURN||-8.00||
HOLIDAY_BONUS_VIB||2020-02-11|2020-02-11 10:05:40||860|2122489|4477|1|3|RETURN||-12.60||
198:682:117||2020-02-11|2020-02-11 10:14:45||942|1973700|74538|5|2|SALE||6.00||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 10:15:51||1100|2109908|4326|1|1|SALE||8.70||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 10:15:51||1100|1834183|4326|2|1|SALE||4.50||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 10:08:08||1126|2156578|5415|1|63|SALE||5.70||
85:93:126||2020-02-11|2020-02-11 10:26:24||1130|1893544|63925|4|1|SALE||4.95||
198:682:117||2020-02-11|2020-02-11 10:21:06||1146|1973684|55848|8|4|SALE||6.00||
198:682:117||2020-02-11|2020-02-11 10:21:06||1146|1764950|55848|12|4|SALE||6.00||
APRIL_WEEK2_VIB||2020-02-11|2020-02-11 10:24:22||1226|2189132|47533|1|1|RETURN||-3.90||
HOLIDAY_BONUS_VIB||2020-02-11|2020-02-11 10:24:22||1226|1784669|47533|2|1|RETURN||-3.00||
98:106:132||2020-02-11|2020-02-11 10:39:23||184|1513217|7454|2|4|SALE||70.00||
254:1907:325||2020-02-11|2020-02-11 10:31:30||238|1779156|47296|3|4|SALE||39.00||
197:681:116||2020-02-11|2020-02-11 10:32:25||260|2233427|13191|5|4|SALE||5.00||
197:681:116||2020-02-11|2020-02-11 10:32:25||260|1765023|13191|9|4|SALE||5.00||
198:682:117||2020-02-11|2020-02-11 10:28:54||268|2110674|96435|7|4|SALE||6.00||
232:1901:303||2020-02-11|2020-02-11 10:35:18||312|2062412|54107|1|2|SALE||24.00||
49||2020-02-11|2020-02-11 10:41:13||316|1488683|13569|1|5|RETURN||-2.97||
PROMO_TLP_xsellfrag20pfeb20_0800693|DFSK4NVFD|2020-02-11|2020-02-11 10:28:17||320|627760|75891|1|2|SALE||14.00||
198:682:117||2020-02-11|2020-02-11 10:42:29||326|2060283|45735|5|6|SALE||6.00||
197:681:116||2020-02-11|2020-02-11 10:37:37||350|1973767|65526|4|1|SALE||5.00||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 11:05:35||258|1775154|60485|2|3|SALE||12.60||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 11:05:35||258|1976513|60485|4|3|SALE||11.40||
198:682:117||2020-02-11|2020-02-11 11:07:57||274|2060283|74154|7|4|SALE||6.00||
EMPL:SEPH_EMPL_40|EMPL|2020-02-11|2020-02-11 11:04:44||276|2222487|30527|1|3|SALE||3.20||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 11:06:04||280|2160463|29534|1|3|SALE||9.00||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 11:06:04||280|2102663|29534|2|3|SALE||8.40||
08||2020-02-11|2020-02-11 11:15:28||294|1922509|12213|1|3|RETURN||-6.20||
198:682:117||2020-02-11|2020-02-11 11:13:18||298|1973684|31887|5|3|SALE||6.00||
197:681:116||2020-02-11|2020-02-11 11:09:01||302|1973767|18113|10|3|SALE||5.00||
198:682:117||2020-02-11|2020-02-11 11:09:01||302|1765007|18113|15|3|SALE||6.00||
197:681:116||2020-02-11|2020-02-11 11:13:11||304|2233427|39148|4|11|SALE||5.00||
198:682:117||2020-02-11|2020-02-11 11:08:19||334|2118479|51447|6|3|SALE||6.00||
198:682:117||2020-02-11|2020-02-11 10:58:47||352|2110674|88061|6|4|SALE||6.00||
10||2020-02-11|2020-02-11 11:09:41||374|1791235|84090|1|7|RETURN||-2.91||
10||2020-02-11|2020-02-11 11:09:41||374|1791235|84090|2|7|SALE||2.91||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 11:13:26||392|1916485|3110|1|3|SALE||3.60||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 11:13:26||392|1916485|3110|1|3|SALE||.99||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 11:13:26||392|1916477|3110|2|3|SALE||3.60||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 11:13:26||392|1916477|3110|2|3|SALE||.99||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 11:13:26||392|2137792|3110|3|3|SALE||8.10||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 11:13:26||392|2137792|3110|3|3|SALE||2.23||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 11:13:26||392|2089365|3110|4|3|SALE||11.70||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 11:13:26||392|2089365|3110|4|3|SALE||3.23||
EMPL:SEPH_EMPL_40|EMPL|2020-02-11|2020-02-11 11:13:26||392|2243012|3110|5|3|SALE||4.80||
EMPL:SEPH_EMPL_40|EMPL|2020-02-11|2020-02-11 11:13:26||392|2243012|3110|5|3|SALE||.85||
EMPL:SEPH_EMPL_40|EMPL|2020-02-11|2020-02-11 11:13:26||392|2243012|3110|6|3|SALE||4.80||
EMPL:SEPH_EMPL_40|EMPL|2020-02-11|2020-02-11 11:13:26||392|2243012|3110|6|3|SALE||.85||
EMPL:SEPH_EMPL_40|EMPL|2020-02-11|2020-02-11 11:13:26||392|2243012|3110|7|3|SALE||4.80||
EMPL:SEPH_EMPL_40|EMPL|2020-02-11|2020-02-11 11:13:26||392|2243012|3110|7|3|SALE||.86||
56||2020-02-11|2020-02-11 10:58:50||394|1896182|73842|1|1|RETURN||-9.40||
198:682:117||2020-02-11|2020-02-11 11:12:07||394|1765007|48915|8|4|SALE||6.00||
85:93:126||2020-02-11|2020-02-11 11:12:07||394|1893544|48915|9|4|SALE||4.95||
198:682:117||2020-02-11|2020-02-11 11:12:20||406|1973684|38455|2|3|RETURN||-1.50||
198:682:117||2020-02-11|2020-02-11 11:12:20||406|1973684|38455|3|3|RETURN||-1.50||
198:682:117||2020-02-11|2020-02-11 11:12:20||406|1973684|38455|4|3|RETURN||-1.50||
198:682:117||2020-02-11|2020-02-11 11:12:20||406|1973684|38455|5|3|RETURN||-1.50||
HOLIDAY_BONUS_BI||2020-02-11|2020-02-11 11:02:04||422|2181089|73752|1|3|RETURN||-3.80||
264:1911:335||2020-02-11|2020-02-11 11:07:05||442|2250603|47298|1|3|RETURN||-7.92||
264:1911:335||2020-02-11|2020-02-11 11:07:05||442|2250603|47298|2|3|SALE||7.92||
PROMO_0800307|400023221138|2020-02-11|2020-02-11 10:57:52||504|1606086|61048|4|5|SALE||8.00||
49||2020-02-11|2020-02-11 11:00:10||504|2272383|61049|2|5|RETURN||-14.56||
EMPL:SEPH_EMPL_40|EMPL|2020-02-11|2020-02-11 11:10:24||532|2015428|68193|1|4|SALE||5.20||
198:682:117||2020-02-11|2020-02-11 12:08:47||570|1764950|84811|4|1|SALE||8.00||
85:93:126||2020-02-11|2020-02-11 11:08:11||712|2058394|33402|1|3|SALE||2.40||
85:93:126||2020-02-11|2020-02-11 11:08:11||712|2070118|33402|2|3|SALE||1.20||
85:93:126||2020-02-11|2020-02-11 11:08:11||712|2234425|33402|3|3|SALE||3.20||
85:93:126||2020-02-11|2020-02-11 11:08:11||712|1893544|33402|4|3|SALE||4.95||
PROMO_SCC_1791|PROMO_SCC|2020-02-11|2020-02-11 10:47:51||768|2207231|37577|1|3|SALE||4.20||
PROMO_SCC_1791|PROMO_SCC|2020-02-11|2020-02-11 10:47:51||768|2198588|37577|3|3|SALE||3.75||
PROMO_SCC_1791|PROMO_SCC|2020-02-11|2020-02-11 10:47:51||768|2042984|37577|4|3|SALE||18.00||
PROMO_0800307|400023221138|2020-02-11|2020-02-11 10:58:20||856|1478403|43194|1|2|SALE||8.00||
198:682:117||2020-02-11|2020-02-11 11:31:21||554|2048858|48537|6|2|SALE||4.09||
198:682:117||2020-02-11|2020-02-11 11:31:21||554|2048858|48537|7|2|SALE||8.00||
198:682:117||2020-02-11|2020-02-11 11:31:21||554|2110674|48537|8|2|SALE||4.59||
198:682:117||2020-02-11|2020-02-11 10:29:59||560|1973734|3466|5|1|SALE||8.00||
10||2020-02-11|2020-02-11 11:29:30||586|2218279|9099|2|1|RETURN||-29.70||
254:1907:325||2020-02-11|2020-02-11 11:16:52||682|1900810|82200|3|2|SALE||39.00||
48||2020-02-11|2020-02-11 11:33:25||768|2203305|37581|1|3|RETURN||-3.30||
197:681:116||2020-02-11|2020-02-11 11:19:54||842|1973767|89035|7|2|SALE||7.00||
PROMO_0800307|400023221138|2020-02-11|2020-02-11 11:27:33||860|1108240|97096|1|1|SALE||8.00||
PROMO_0800307|400023221138|2020-02-11|2020-02-11 11:21:10||862|2215903|9790|3|4|SALE||8.00||
PROMO_0800307|400023221138|2020-02-11|2020-02-11 11:30:32||892|2063329|20306|1|3|SALE||8.00||
PROMO_0800307|400023221138|2020-02-11|2020-02-11 11:21:14||896|1898196|29256|1|1|SALE||8.00||
198:682:117||2020-02-11|2020-02-11 11:29:32||1260|2110682|11633|4|1|SALE||6.00||
10||2020-02-11|2020-02-11 10:36:22||130|2285856|58029|1|5|RETURN||-79.80||
265:1911:336||2020-02-11|2020-02-11 10:40:32||132|1658434|97827|1|3|RETURN||-20.00||
PROMO_SCC_1791|PROMO_SCC|2020-02-11|2020-02-11 11:37:24||146|1970235|829|1|3|SALE||7.80||
PROMO_SCC_1791|PROMO_SCC|2020-02-11|2020-02-11 11:37:24||146|1900000|829|2|3|SALE||4.95||
PROMO_SCC_1791|PROMO_SCC|2020-02-11|2020-02-11 11:37:24||146|2084424|829|3|3|SALE||4.35||
HOLIDAY_BONUS_ROUGE||2020-02-11|2020-02-11 10:38:30||150|2094274|55797|1|5|RETURN||-4.80||
HOLIDAY_BONUS_ROUGE||2020-02-11|2020-02-11 10:38:30||150|2249910|55797|2|5|RETURN||-8.40||
HOLIDAY_BONUS_ROUGE||2020-02-11|2020-02-11 10:40:26||150|2070621|55798|1|5|RETURN||-8.00||
HOLIDAY_BONUS_ROUGE||2020-02-11|2020-02-11 10:40:26||150|2282606|55798|2|5|RETURN||-5.00||
HOLIDAY_BONUS_ROUGE||2020-02-11|2020-02-11 10:40:26||150|2115962|55798|3|5|RETURN||-7.60||
277:2002:348|840021020200000006012020|2020-02-11|2020-02-11 11:43:27||208|2066256|44613|3|1|SALE||1.40||
277:2002:348|840021020200000006012020|2020-02-11|2020-02-11 11:43:27||208|1836535|44613|4|1|SALE||1.30||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 11:44:02||266|2286227|39017|1|1|SALE||10.80||
PROMO_SCC_1791|PROMO_SCC|2020-02-11|2020-02-11 11:34:14||268|2164085|56317|1|3|SALE||.60||
PROMO_SCC_1791|PROMO_SCC|2020-02-11|2020-02-11 11:34:14||268|2164051|56317|2|3|SALE||.60||
PROMO_SCC_1791|PROMO_SCC|2020-02-11|2020-02-11 11:34:14||268|1794478|56317|3|3|SALE||1.80||
08||2020-02-11|2020-02-11 10:40:50||286|2098689|97083|2|3|RETURN||-9.80||
HOLIDAY_BONUS_ROUGE||2020-02-11|2020-02-11 11:48:15||294|2288082|12220|2|3|RETURN||-5.80||
84:92:182||2020-02-11|2020-02-11 11:36:33||302|1791094|1908|6|1|SALE||4.25||
84:92:182||2020-02-11|2020-02-11 11:36:33||302|1791102|1908|7|1|SALE||4.25||
84:92:182||2020-02-11|2020-02-11 11:36:33||302|1791383|1908|8|1|SALE||4.25||
84:92:182||2020-02-11|2020-02-11 11:36:33||302|1791094|1908|9|1|SALE||4.25||
198:682:117||2020-02-11|2020-02-11 11:41:08||332|2048858|36266|8|3|SALE||6.00||
08||2020-02-11|2020-02-11 11:43:01||334|1960061|51469|1|3|RETURN||-5.10||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 11:46:38||350|1557941|65540|1|1|SALE||14.40||
EMPL:SEPH_EMPL_GENERAL|EMPL|2020-02-11|2020-02-11 11:46:38||350|2244606|65540|2|1|SALE||10.20||
PROMO_SCC_1791|PROMO_SCC|2020-02-11|2020-02-11 11:38:23||354|2245918|52294|1|3|SALE||1.80||
198:682:117||2020-02-11|2020-02-11 11:41:52||368|1764976|72981|4|3|SALE||6.00||
PROMO_SCC_1791||2020-02-11|2020-02-11 11:38:05||370|2106573|32994|1|4|RETURN||-5.70||
PROMO_SCC_1791||2020-02-11|2020-02-11 11:38:05||370|2209880|32994|2|4|RETURN||-5.70||
170:654:239||2020-02-11|2020-02-11 11:47:23||370|2033538|32997|2|4|SALE||4.67||
170:654:239||2020-02-11|2020-02-11 11:47:23||370|2033496|32997|3|4|SALE||4.67||
170:654:239||2020-02-11|2020-02-11 11:47:23||370|2033454|32997|4|4|SALE||4.67||
08||2020-02-11|2020-02-11 11:43:26||372|2127009|45914|1|1|RETURN||-5.25||
08||2020-02-11|2020-02-11 11:43:26||372|2127025|45914|2|1|RETURN||-6.00||
10||2020-02-11|2020-02-11 11:36:16||374|1573229|72234|1|6|RETURN||-4.80||
38|RW00342415290412|2020-02-11|2020-02-11 11:35:35||398|2148542|19789|1|3|SALE||5.00||
198:682:117||2020-02-11|2020-02-11 11:46:14||448|1764950|71658|8|4|SALE||6.00||
PROMO_TLP_xsellfrag20pfeb20_0800693|DFSK4NVFD|2020-02-11|2020-02-11 11:50:57||330|2267797|71263|1|3|SALE||30.00||
HOLIDAY_BONUS_VIB||2020-02-11|2020-02-11 11:54:45||332|2211696|36271|1|3|RETURN||-4.20||
HOLIDAY_BONUS_VIB||2020-02-11|2020-02-11 11:54:45||332|2202380|36271|2|3|RETURN||-6.75||
PROMO_SCC_1791||2020-02-11|2020-02-11 12:05:17||370|2247625|33006|1|4|RETURN||-4.35||
PROMO_SCC_1791||2020-02-11|2020-02-11 12:05:17||370|1954478|33006|2|4|RETURN||-5.70||
