channel_type,sephora_id,order_number,transaction_line_number,transaction_datetime,transaction_date,transaction_datetime_local,dp_update_timestamp,partition,offset,timestamp,fulfill_milestone_datetime,store_number,atg_order_number,org_id,atg_id,usa_id,transaction_datetime_utc,channel,bi_tier_atorder,sku_number,sku_description,department_number,regular_sales_unit_price,gross_sales_usd_amount,gross_sales_local_amount,sales_afterdiscount_usd_amount,sales_afterdiscount_local_amount,net_sales_usd_amount,net_sales_local_amount,discount_usd_amount,discount_local_amount,units,exchange_rate,origin_of_order,country_of_origin,currency_code,csr_id,transaction_number,language,tax_amount,original_order_number,transaction_type,line_void_flag,dotcom_guest_flag,flash_order_type,gift_wrap_flag,gwp_flag,gift_card_flag,shipping_method,atg_commerce_item_type,atg_shipping_group_type,expected_shipment_datetime,sample_flag,terminal_id,product_description,demand_discounted_sales,line_cancel_flag,line_cancel_datetime,return_reason,external_order_number,external_order_type,tip_employee_id,tip_amount,tip_percent,order_submit_datetime,order_submit_datetime_utc,order_submit_datetime_local,order_submit_year_month,order_submit_date,order_submit_hour,dp_create_timestamp,sephora_id_update_timestamp,topic,hold_release_datetime,fulfillment_type,pick_in_progress_datetime,picked_up_datetime,ready_for_pickup_datetime,pickup_sla_hours,pickup_store_number,cancel_type,cancel_reason_text,cancel_reason_code,pickup_cancelled_datetime,seller_org_code,shipped_datetime,ready_for_shipping_datetime,ready_for_shipping_sla_hours,delivered_datetime,sla_met_delivered_flag,curbside_check_in_datetime,curbside_pickup_sla_minutes,courier_name,return_to_dc,return_tracking_number,return_delivered_datetime,ba_productivity_employee_id,res_confirmation_number,extn_delivery_start_time,extn_delivery_end_time,extn_delivery_location_tz,extn_delivery_pickup_start_time,alternate_pickup_flag,hal_selected,hal_location_type,hal_location_id,hal_location_partner,hal_location_company,hal_ready_for_pickup_datetime,hal_hold_until_datetime,hal_reminder1_datetime,hal_reminder2_datetime,hal_picked_up_datetime,hal_return_to_sender_datetime
US ONLINE,1074206483,40853809511,3,2021-12-12 22:56:32,2021-12-12,2021-12-12 22:56:32,2021-12-19 09:56:15,2,18670031,1639484124507,null,null,40853809511,01,6236409028,2300000032800809,2021-12-13 06:56:32,Online,BI,2306348,MILK MAKEUP Mini Vegan Milk Cleanser-2 oz/ 59 mL,10,15,15,15,12,12,12,12,3,3,1,null,iphoneAppV2.0,US,USD,null,null,en_US,0.9,null,S,N,N,null,N,N,N,null,SephoraNormalCommerceItem,inStorePickupShippingGroup,null,N,null,MILK MAKEUP Mini Vegan Milk Cleanser-2 oz/ 59 mL,12,null,null,null,null,null,null,null,null,2021-12-12 22:45:29,2021-12-13 06:45:29,2021-12-12 22:45:29,202112,2021-12-12,22,2021-12-14 12:18:00,2021-12-14 12:18:00,OrderLine,2021-12-12 22:56:32,PICKUP,2021-12-13 08:58:45,2021-12-16 11:34:29,2021-12-13 09:00:37,1,242,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
US ONLINE,1074206483,40853809511,2,2021-12-12 22:56:32,2021-12-12,2021-12-12 22:56:32,2021-12-19 09:56:15,14,18664361,1639484124507,null,null,40853809511,01,6236409028,2300000032800809,2021-12-13 06:56:32,Online,BI,2495364,Biossance Squalane + Amino Aloe Gentle Cleanser-6.76 oz/ 200 mL,15,26,26,26,20.8,20.8,20.8,20.8,5.2,5.2,1,null,iphoneAppV2.0,US,USD,null,null,en_US,1.57,null,S,N,N,null,N,N,N,null,SephoraNormalCommerceItem,inStorePickupShippingGroup,null,N,null,Biossance Squalane + Amino Aloe Gentle Cleanser-6.76 oz/ 200 mL,20.8,null,null,null,null,null,null,null,null,2021-12-12 22:45:29,2021-12-13 06:45:29,2021-12-12 22:45:29,202112,2021-12-12,22,2021-12-14 12:18:00,2021-12-14 12:18:00,OrderLine,2021-12-12 22:56:32,PICKUP,2021-12-13 08:58:45,2021-12-16 11:34:29,2021-12-13 09:00:37,1,242,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
US ONLINE,1074206483,40853809511,1,2021-12-12 22:56:32,2021-12-12,2021-12-12 22:56:32,2021-12-19 09:56:15,2,18670029,1639484124506,null,null,40853809511,01,6236409028,2300000032800809,2021-12-13 06:56:32,Online,BI,2364107,Nécessaire The Body Lotion - With Niacinamide-Fragrance Free,15,25,25,25,20,20,20,20,5,5,1,null,iphoneAppV2.0,US,USD,null,null,en_US,1.51,null,S,N,N,null,N,N,N,null,SephoraNormalCommerceItem,inStorePickupShippingGroup,null,N,null,Nécessaire The Body Lotion - With Niacinamide-Fragrance Free,20,null,null,null,null,null,null,null,null,2021-12-12 22:45:29,2021-12-13 06:45:29,2021-12-12 22:45:29,202112,2021-12-12,22,2021-12-14 12:18:00,2021-12-14 12:18:00,OrderLine,2021-12-12 22:56:32,PICKUP,2021-12-13 08:58:45,2021-12-16 11:34:29,2021-12-13 09:00:37,1,242,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
US ONLINE,1074206483,40853809511,4,2021-12-12 22:56:32,2021-12-12,2021-12-12 22:56:32,2021-12-19 09:56:15,11,18671449,1639484124508,null,null,40853809511,01,6236409028,2300000032800809,2021-12-13 06:56:32,Online,BI,2221133,Dermalogica Mini Daily Microfoliant Exfoliator-0.45 oz/ 13 g,15,15,15,15,12,12,12,12,3,3,1,null,iphoneAppV2.0,US,USD,null,null,en_US,0.9,null,S,N,N,null,N,N,N,null,SephoraNormalCommerceItem,inStorePickupShippingGroup,null,N,null,Dermalogica Mini Daily Microfoliant Exfoliator-0.45 oz/ 13 g,12,null,null,null,null,null,null,null,null,2021-12-12 22:45:29,2021-12-13 06:45:29,2021-12-12 22:45:29,202112,2021-12-12,22,2021-12-14 12:18:00,2021-12-14 12:18:00,OrderLine,2021-12-12 22:56:32,PICKUP,2021-12-13 08:58:45,2021-12-16 11:34:29,2021-12-13 09:00:37,1,242,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
US ONLINE,1001152172,40853820896,1,null,null,null,2021-12-14 09:14:45,5,18662866,1639471679737,null,null,40853820896,01,2489123459,2300000012894588,null,Online,ROUGE,2087781,Dior BACKSTAGE Eyeshadow Palette-Cool Neutrals,10,49,49,49,39.2,39.2,39.2,39.2,9.8,9.8,1,null,iphoneAppV2.0,US,USD,null,null,en_US,2.95,null,S,N,N,null,N,N,N,null,SephoraNormalCommerceItem,inStorePickupShippingGroup,null,N,null,Dior BACKSTAGE Eyeshadow Palette-Cool Neutrals,39.2,null,null,null,null,null,null,null,null,2021-12-12 22:02:20,2021-12-13 06:02:20,2021-12-12 22:02:20,202112,2021-12-12,22,2021-12-14 08:50:00,2021-12-14 08:50:00,OrderLine,null,PICKUP,null,null,null,null,242,SELF_CANCEL,Customer Request,41,2021-12-12 22:02:20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
US ONLINE,1001152172,40854890069,1,2021-12-12 22:25:26,2021-12-12,2021-12-12 22:25:26,2021-12-19 09:56:15,3,18510746,1639471679735,null,null,40854890069,01,2489123459,2300000012894588,2021-12-13 06:25:26,Online,ROUGE,2297018,NARS Blush-Behave,10,30,30,30,24,24,24,24,6,6,1,null,iphoneAppV2.0,US,USD,null,null,en_US,1.81,null,S,N,N,null,N,N,N,null,SephoraNormalCommerceItem,inStorePickupShippingGroup,null,N,null,NARS Blush-Behave,24,null,null,null,null,null,null,null,null,2021-12-12 22:13:15,2021-12-13 06:13:15,2021-12-12 22:13:15,202112,2021-12-12,22,2021-12-14 08:50:00,2021-12-14 08:50:00,OrderLine,2021-12-12 22:25:26,PICKUP,2021-12-13 08:38:46,null,2021-12-13 08:40:29,0,242,SELF_CANCEL,Not Available Items,44,2021-12-12 22:13:15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
US ONLINE,1001152172,40854890069,2,2021-12-12 22:25:26,2021-12-12,2021-12-12 22:25:26,2021-12-19 09:56:15,3,18510748,1639471679737,null,null,40854890069,01,2489123459,2300000012894588,2021-12-13 06:25:26,Online,ROUGE,2087781,Dior BACKSTAGE Eyeshadow Palette-Cool Neutrals,10,49,49,49,39.2,39.2,39.2,39.2,9.8,9.8,1,null,iphoneAppV2.0,US,USD,null,null,en_US,2.95,null,S,N,N,null,N,N,N,null,SephoraNormalCommerceItem,inStorePickupShippingGroup,null,N,null,Dior BACKSTAGE Eyeshadow Palette-Cool Neutrals,39.2,null,null,null,null,null,null,null,null,2021-12-12 22:13:15,2021-12-13 06:13:15,2021-12-12 22:13:15,202112,2021-12-12,22,2021-12-14 08:50:00,2021-12-14 08:50:00,OrderLine,2021-12-12 22:25:26,PICKUP,2021-12-13 08:38:46,null,2021-12-13 08:40:29,0,242,STORE_CANCEL,STORE_CANCEL,STORE_CANCEL,2021-12-12 22:13:15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
US ONLINE,1095396457,40854701597,2,2021-12-12 22:37:37,2021-12-12,2021-12-12 22:37:37,2021-12-19 09:56:15,17,18665389,1639471682780,2021-12-12 22:42:33,242,40854701597,01,9372498786,2300000052240284,2021-12-13 06:37:37,Online,VIB,2495489,ONE/SIZE by Patrick Starrr Point Made Eyeliner & Eyeshadow Set-Golden Cocoa,10,20.5,20.5,20.5,16.4,16.4,16.4,16.4,4.1,4.1,1,null,iphoneAppV2.0,US,USD,null,null,en_US,1.23,null,S,N,N,null,N,N,N,Same Day Delivery,SephoraNormalCommerceItem,sameDayShippingGroup,2021-12-13 23:59:00,N,null,ONE/SIZE by Patrick Starrr Point Made Eyeliner & Eyeshadow Set-Golden Cocoa,16.4,null,null,null,null,null,null,null,null,2021-12-12 22:21:37,2021-12-13 06:21:37,2021-12-12 22:21:37,202112,2021-12-12,22,2021-12-14 08:52:00,2021-12-14 08:52:00,OrderLine,2021-12-12 22:37:37,SAMEDAY,null,null,null,null,242,null,null,null,null,null,2021-12-13 11:34:10,2021-12-13 07:24:58,0,2021-12-13 12:01:47,Y,null,null,Postmates,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
US ONLINE,1095396457,40854701597,4,2021-12-12 22:37:37,2021-12-12,2021-12-12 22:37:37,2021-12-14 09:30:58,4,19065259,1639471682781,2021-12-12 22:42:33,242,40854701597,01,9372498786,2300000052240284,2021-12-13 06:37:37,Online,VIB,2267805,Dr. Jart+ Cicapair™ Tiger Grass Serum,15,47,47,47,37.6,37.6,37.6,37.6,9.4,9.4,1,null,iphoneAppV2.0,US,USD,null,null,en_US,2.83,null,S,N,N,null,N,N,N,Same Day Delivery,SephoraNormalCommerceItem,sameDayShippingGroup,2021-12-13 23:59:00,N,null,Dr. Jart+ Cicapair™ Tiger Grass Serum,37.6,Y,2021-12-13 07:24:58,null,null,null,null,null,null,2021-12-12 22:21:37,2021-12-13 06:21:37,2021-12-12 22:21:37,202112,2021-12-12,22,2021-12-14 08:52:00,2021-12-14 08:52:00,OrderLine,2021-12-12 22:37:37,SAMEDAY,null,null,null,null,242,STORE_CANCEL,STORE_CANCEL,STORE_CANCEL,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
US ONLINE,1095396457,40854701597,6,2021-12-12 22:37:37,2021-12-12,2021-12-12 22:37:37,2021-12-14 09:30:58,2,18666621,1639471682783,2021-12-12 22:42:33,242,40854701597,01,9372498786,2300000052240284,2021-12-13 06:37:37,Online,VIB,2469534,Too Faced Christmas In The City Makeup Set,10,41.5,41.5,41.5,33.2,33.2,33.2,33.2,8.3,8.3,1,null,iphoneAppV2.0,US,USD,null,null,en_US,2.5,null,S,N,N,null,N,N,N,Same Day Delivery,SephoraNormalCommerceItem,sameDayShippingGroup,2021-12-13 23:59:00,N,null,Too Faced Christmas In The City Makeup Set,33.2,Y,2021-12-13 07:24:58,null,null,null,null,null,null,2021-12-12 22:21:37,2021-12-13 06:21:37,2021-12-12 22:21:37,202112,2021-12-12,22,2021-12-14 08:52:00,2021-12-14 08:52:00,OrderLine,2021-12-12 22:37:37,SAMEDAY,null,null,null,null,242,STORE_CANCEL,STORE_CANCEL,STORE_CANCEL,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
