sephora_id,order_number,atg_order_number,purchase_date,product_sk,sku_number,store_number,discount_amount,transaction_type,currency_code,void_flag,dotcom_guest_flag,brand_name,sample_sku_code,csr_id,standard_sample_flag,total_sales_local_amount,gross_units,product_category,merch_code,country_origin,mplus_flag,transaction_number,transaction_sequence_number,shipped_date,department_number,department_name,hazmat_flag,gift_flag,dt,release_date,received_date,purchase_year,purchase_month,channel_type
null,086780037600000000626200001,,2020-10-01,40940802,1945187,38,0,S,US,N,null,YSL,,null,null,29,1,Perfume Gift Sets,,,,6262,1,2020-10-01,20,Fragrance,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1025060477,087020043200000000439100001,null,2020-10-25,40942886,1966258,250,0,S,US,N,null,LANEIGE,,null,null,22,1,Lip Balms & Treatments,,null,,4391,1,2020-10-25,15,Skincare,null,null,2020-10-28-161844,null,null,2020,10,US STORE
null,086780054200000002288500004,,2020-10-01,40916933,1708866,414,0,S,US,N,null,MAKE UP FOR EVER,,null,null,43,1,Foundation,,,,22885,1,2020-10-01,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1025060477,087020043200000000439100001,null,2020-10-25,40932727,1866359,250,0,S,US,N,null,LANCOME,,null,null,13,1,Makeup,,null,,4391,2,2020-10-25,10,Makeup,null,null,2020-10-27-155857,null,null,2020,10,US STORE
null,086780060600000009318500003,,2020-10-01,135777,621284,458,0,S,US,N,null,PROFUSION,OT,null,null,50,1,,GC,,,93185,1,2020-10-01,96,Unclassified,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1031747313,086920065400000009200900003,null,2020-10-15,40938680,1925684,256,0,S,US,N,null,FENTY,,null,null,25,1,Contour,,null,,92009,1,2020-10-15,10,Makeup,null,null,2020-10-17-170950,null,null,2020,10,US STORE
null,086780064900000002224200001,,2020-10-01,40970583,2243285,86,0,S,US,N,null,NATASHA DENONA,,null,null,25,1,Lipstick,,,,22242,1,2020-10-01,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1039311561,086820041200000004519000006,,2020-10-05,40977373,2311678,74,0,S,US,N,null,SOL DE JANEIRO,BI,null,null,0,1,,,,,45190,2,2020-10-05,97,Unclassified,null,null,2020-10-15-135812,null,null,2020,10,US STORE
null,086780064900000002233000001,,2020-10-01,40949660,2033264,86,0,S,US,N,null,OLAPLEX,,null,null,28,1,Scalp & Hair Treatments,,,,22330,1,2020-10-01,16,Hair,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1039311561,086820041200000004519000006,,2020-10-05,40982590,2362432,74,0,S,US,N,null,RARE BEAUTY,,null,null,26,1,Face Primer,,,,45190,1,2020-10-05,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
null,086780065700000009769200002,,2020-10-01,40925404,1793785,98,0,S,US,N,null,FRESH,,null,null,24,1,Lip Balm & Treatment,,,,97692,2,2020-10-01,15,Skincare,null,null,2020-10-15-135812,null,null,2020,10,US STORE
